[2026-08-23 10:20:22.372390] msg_id:3 | SUCCESS | Charlie Morgan: EasyGrow 2025 AI Client Acquisition System
[2026-08-23 10:20:45.619951] msg_id:2 | SUCCESS | Cortex: Build and Launch AI Software in 14 Days
[2026-08-23 10:54:01.643077] msg_id:3079 | SUCCESS | XB Marketing: CPA Marketing Mastery Course
[2026-08-23 10:54:18.408121] msg_id:3063 | SUCCESS | Journal to the Self: Master the Art of Self-Guidance
[2026-08-23 10:57:03.865467] msg_id:3053 | SUCCESS | Ryan Hogue: Print on Demand Mastery Course
[2026-08-23 10:57:16.423519] msg_id:3047 | SUCCESS | Luna Vegas: The Etsy Selling Formula
[2026-08-23 10:57:30.654438] msg_id:3043 | SUCCESS | TikTok Shop Bootcamp: Master E-Commerce Strategy
[2026-08-23 10:57:44.687084] msg_id:3033 | SUCCESS | Rent to Rent Accelerator: Property Investment Masterclass
[2026-08-23 10:57:57.499671] msg_id:3025 | SUCCESS | EasyGrow 2025: Organic AI Lead Generation & Scaling System
[2026-08-23 10:58:08.919403] msg_id:3002 | SUCCESS | Foundations: Scale Your Creative Business
[2026-08-23 10:58:21.552656] msg_id:2994 | SUCCESS | Write, Build, Scale: The Substack Growth System
[2026-08-23 10:58:34.859967] msg_id:2986 | SUCCESS | Quantum Coaches: The Giving Games by Dan Harrison
[2026-08-23 10:58:49.521992] msg_id:2978 | SUCCESS | Unlock n8n: Master Workflow Automation
[2026-08-23 10:59:04.255351] msg_id:2968 | SUCCESS | The Profit Formula: Amazon KDP Publishing Academy
[2026-08-23 10:59:16.776278] msg_id:2957 | SUCCESS | The Passive Rebel: Lead Generation Without Social Media
[2026-08-23 10:59:29.288430] msg_id:2952 | SUCCESS | The Full Stage Academy Bundle by Vinh Giang
[2026-08-23 10:59:41.816519] msg_id:2933 | SUCCESS | Reel Genius: Mastering Profitable Facebook Reels
[2026-08-23 10:59:51.744577] msg_id:2907 | SUCCESS | GTM Elites: Automated Outbound Sales Systems
[2026-08-23 11:00:04.093231] msg_id:2906 | FAILED - Invalid JSON | The Lazy Creator Blueprint: Efficient Short-Form Content Creation
[2026-08-23 11:00:09.950546] msg_id:2894 | FAILED - Invalid JSON | Own The Inbox 2025: Mastering Email Marketing by Alex Cattoni
[2026-08-23 11:00:15.298751] msg_id:2877 | FAILED - Invalid JSON | Club Aligned: Wealth and Success Fundamentals
[2026-08-23 11:00:20.444340] msg_id:2873 | FAILED - Invalid JSON | Micro Bakery School: Build Your Successful Home Bakery Business
[2026-08-23 11:00:28.521786] msg_id:2860 | FAILED - Invalid JSON | One Week Web Designer: Premium Client Workflow
[2026-08-23 11:00:32.448356] msg_id:2846 | FAILED - Invalid JSON | Neuma: Build Your Ideas by Talking to AI
[2026-08-23 11:00:37.038369] msg_id:2839 | FAILED - Invalid JSON | Temlis: AI Website School by Ald Gallardo
[2026-08-23 11:02:09.143319] msg_id:2906 | SUCCESS | The Lazy Creator Blueprint: Efficient Short-Form Video Mastery
[2026-08-23 11:02:21.563008] msg_id:2894 | SUCCESS | Own The Inbox 2025: Mastering Email Copywriting
[2026-08-23 11:02:35.061186] msg_id:2877 | SUCCESS | Club Aligned Study Fundamentals: Wealth and Manifestation Mastery
[2026-08-23 11:02:49.767402] msg_id:2873 | SUCCESS | Micro Bakery School: Build Your Profitable Home Bakery Business
[2026-08-23 11:03:03.699182] msg_id:2860 | SUCCESS | One Week Web Designer: Premium Web Development Mastery
[2026-08-23 11:03:14.235169] msg_id:2846 | SUCCESS | Kris Puckett: Neuma AI Creation Course
[2026-08-24 10:43:47.580110] msg_id:2839 | FAILED | TEMLIS: AI Website School by Ald Gallardo
[2026-08-24 10:44:01.049760] msg_id:2817 | SUCCESS | TradePRO Academy: Order Flow Mastery 2026
[2026-08-24 10:44:14.726383] msg_id:2812 | SUCCESS | The Instant Empire System by Tyson Zahner
[2026-08-24 10:44:26.433369] msg_id:2805 | SUCCESS | Societiesr's Animation Academy: Professional AI Video Creation
[2026-08-24 10:44:37.935292] msg_id:2784 | SUCCESS | The 1% in AI: Scaling Your AI Business to $50k/Mo
[2026-08-24 10:44:49.136168] msg_id:2761 | SUCCESS | Origins Ecommerce: Foundational Systems for Growth
[2026-08-24 10:45:02.203162] msg_id:2752 | SUCCESS | Story Hero Academy: Master Visual Storytelling & Filmmaking
[2026-08-24 10:45:22.847004] msg_id:2750 | SUCCESS | Telehealth Profits System: Automate Your Ad Campaigns
[2026-08-24 10:45:36.450242] msg_id:2724 | SUCCESS | Origins Ecommerce: Scale to $100k/mo with Shopify
[2026-08-24 10:45:47.094695] msg_id:2713 | SUCCESS | Time to Build: Turn Your Knowledge Into an Online Business
[2026-08-24 10:45:59.106805] msg_id:2712 | SUCCESS | Ecom Ads & Scaling Mastery: Expert Marketing Strategy
[2026-08-24 10:46:12.450464] msg_id:2693 | SUCCESS | Kallaway: Short Form Academy Program
[2026-08-24 10:46:28.128889] msg_id:2646 | SUCCESS | NoeAI Automator Premium: AI Marketing & Agency Scaling
[2026-08-24 10:46:41.282197] msg_id:2638 | SUCCESS | Perry Belcher: The Bigfoot Blueprint Workshop
[2026-08-24 10:46:55.426085] msg_id:2635 | SUCCESS | Comprehensive USA Business Leads Database (9.9 Million Records)
[2026-08-24 10:47:09.827423] msg_id:2622 | SUCCESS | Cambridge University Press: Complete IELTS Bands 4.0-8.5 Masterclass
[2026-08-24 10:47:21.204609] msg_id:2617 | SUCCESS | AI Money Maker: How to Create and Sell Digital Products
